Sentences,Frame
"When diesel is injected in to the engine via the injector at about 2800 p.s.i. there is a shock wave in the pipe , it 's this shock wave or pulse which triggers the timing light . ",Placing
"The trees are anchored by 20 metre polyurethane roots , formed by injecting liquid chemicals down a steel tube . ",Placing
"It would take him away to a nice , warm mental hospital , where nice men would inject large quantities of Largactil up his bum . ",Placing
"In intact experimental animals prostacyclin has a vasodepressor effect and this was observed to an equal degree when injected intravenously or intra-arterially ( Armstrong et al , 1978 ) . ",Placing
"The programme would inject nearly NKr10,000 million primarily into road and rail communications and would be financed by cuts in other areas . ",Placing
"But the cornice offers no aid and he tumbles and slithers down once more , cursing and swearing and showering me in snow . ",Filling
"The Italian crowd went berserk when they realised their man had lost his title , and showered Benn with coins and rubbish . ",Filling
"Mr Sutherland , who lives in Holland , was reunited with his 27-year-old wife Anita on the tarmac -- seconds before the DC-10 exploded , showering them with debris . ",Filling
It smashed the car 's sunroof showering the family with glass . ,Filling
"She picked her way between them , treading with care so as not to shower things with sand . ",Filling
"She popped a prawn ball into her mouth and bit on it , showering him with sweet and sour sauce . ",Filling
Some of the patients look as though they have been showered with poppy seeds . ,Filling
In autumn a rowan tree at the front gate was showered with berries . ,Filling
The most memorable scene has German officers and their ladies trapped in an underground bunker and showered with hand grenades and gasoline . ,Filling
Endless seconds wondering if those huge windows would buckle and shower us with glass .,Filling
"Crossbills and red squirrels showered stripped pinecones around me , and I saw my first crested tits , trapezing in the canopy . ",Placing
"As the English were forced back , their archers belatedly came into action , but showered more arrows into the backs of their own troops than into Bruce's . ",Placing
"His comrades , meanwhile , get to work with power drills and grinders , showering sparks into the front row and creating an industrial cacophony that mixes mysteriously with the piped classical backing track they 've picked to accompany their hellish instrumental . ",Placing
"European heads of government from Moscow to Madrid showered telegrams of congratulation on Clinton , saying they expected to maintain good ties with Washington . ",Placing
People showered unsought librettos on him all his life and he ignored them . ,Placing
"Where would the poor girls be without their pimps , who shower money on them and ask for nothing in return ? ",Placing
I stopped playing and tossed my trumpet to Kim who had been showering our remaining advertising leaflets on to the melee . ,Placing
All Giles had wanted in return for the small gifts he showered on her was affection . ,Placing
"These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !",Placing
She had a fake -- a trick : just before the contest started she smeared her mouth well with butter . ,Filling
He did not even notice when one of his class became stuck in the hole in the floorboards and was there all day until Endill had the idea of smearing him with butter to slide him out . ,Filling
"They were both bareheaded , but had smeared their faces with camouflage cream , and wore dark coloured zip-up windcheaters , denims and trainers . ",Filling
He had smeared the shape with coal dust . ,Filling
"At all times , the BBC and official propaganda has been industrious at smearing them with crime and violence . ",Filling
"He smeared the chicken with edenwort , okra and gravy , rubbed it round the plate and set it off once more in the direction of his wide , beautifully moulded mouth . ",Filling
"He promptly took it out of her hand , smeared it with honey and pushed it towards her mouth . ",Filling
"She was smearing her hands with iron oxide , to simulate blood . ",Filling
Opening trick : stop nail polish bottle tops from sticking by smearing the grooves with some Vaseline . ,Filling
The women of the family struck their faces and smeared them with soot . ,Filling
They also knew that the arrested men were respectable and law-abiding and they were highly indignant when they heard that an official spokesman had smeared them with the suggestion of criminal activities . ,Filling
Bryony took the toast out and began to smear it with tomato chutney . ,Filling
"The man 's face was a glistening red , as though he had smeared it with Vaseline . ",Filling
"In this case , straight sections of Kopex connectors were pushed into Acorn connectors after the pipe ends had been smeared with lubricant . ",Filling
In nineteenth-century Paris young revellers would melt down chocolate and smear horrified passers-by with what they took to be excrement . ,Filling
"They gave the impression of being a hunting party -- not far from the truth , Grant thought , but for the fact that many carried baseball bats and all had their faces heavily smeared with camouflage cream . ",Filling
"Put the meat into a roasting pan , join-side down , smear with olive oil and sprinkle with salt . ",Filling
Traditional packing can be replaced with wool smeared with petroleum jelly ; some modern nonrising spindle taps have rubber ( or neoprene ) ` O'-ring seals which are easily replaced . ,Filling
"He smeared the mud across his face , and then across his scalp so that it matted in his close-cut hair . ",Placing
But soon he stood back and smeared the tears across the dirt on his cheeks . ,Placing
"Fix the glass internally by overlapping the concrete surrounds , with a liberal ribbon of silicone sealer ( aquarium quality ) and make waterproof by smearing the silicone around all the internal joints . ",Placing
"Do n't worry folks , I knew what to do -- smear some butter around the head and neck . ",Placing
He smears ointment on a strip of lint and lays the dressing gently across my wound . ,Placing
She smeared after-sun milk on her satin brown skin before joining Steve at the table with her drink . ,Placing
"Hargreave removed the sheet from the file and held it close to his face , smearing sauce on it . ",Placing
You could always smear sticky treacle on the bit or make sure the bit is always warm before it goes into her mouth . ,Placing
The Indians collect it in pots and smear it on the tips of their arrows and blow-pipe darts . ,Placing
Visitors often smear the mud on their bodies . ,Placing
Smear it on your four bedposts every night . ,Placing
"He told her to shut her eyes , and smeared the paste over her face , leaving breathing holes over her nostrils . ",Placing
Smear flux lightly over the ends of the pipe and the inside of the fitting . ,Placing
"Smear this mixture all over the lamb , cover with cling film and leave the meat in a cool place to marinate overnight . ",Placing
Another digs the cream from the centre of a pink fancy and smears it in his hair . ,Placing
"On site , this section is then set into a fresh layer of mortar which has been smeared across a hardened mortar layer . ",Placing
"Makassar Poison , which was smeared on dagger blades to make them instantly fatal , exerted a certain fascination over Europeans . ",Placing
She smeared a little of the pink cream on the bottom of Lily 's lip . ,Placing
Bright Eyes : you can keep shampoo out of babies ' eyes by smearing a line of Vaseline just above their eyebrows . ,Placing
"Besides the crash damage , the thieves had also smeared tomato sauce over the front seats and dashboard . ",Placing
He stared at his sister whose pale face was made even paler by the sun-block ointment she had liberally smeared on her skin . ,Placing
Simply smear on a generous amount over your skin after cleansing to make a revitalising face mask . ,Placing
Wrap the bottom corner with a couple of layers of masking tape to prevent the scraper from cutting the device . ,Filling
"They would wrap the lamb in a warm blanket , feed it from a bottle , and keep it near the heat of the kitchen fire , perhaps even on top of the oven , until it recovered . ",Filling
I wrapped him in the big blanket we 'd brought as he was already shivering . ,Filling
He wrapped the material in sheets of brown paper . ,Filling
The wrapping machine was pre-set to wrap a given number of biscuits . ,Filling
"Their names , kept secret until election night , are written upon slips of paper which are wrapped in wax paper before being sealed in hot wax . ",Filling
A brick should have been wrapped in that paper and then inserted well up Chamberlain 's fundamental orifice . ,Filling
Charles hated the feeling that he was being wrapped in cotton wool ; he felt cheated when he was not allowed to do what other men did . ,Filling
"I dig the garden , or wrap my Christmas presents . ",Filling
"Doug told Sergeant Flynn what had happened , the ambulance people wrapped Mac 's body in his bed sheet and took him off under the harsh lights set up by the TV crew . ",Filling
"Straighten the bristles after cleaning and wrap with clean plain paper , so that the bristles maintain their shape , and then lay it on its side until it is required for use . ",Filling
"When cold , wrap in foil or store in an airtight tin . ",Filling
` It needs to be wrapped up quickly . ,Filling
She wrapped up the clogs and gave them back to me with the instruction that I was only to wear the shoes when I came to call . ,Filling
"I wrapped up a bottle of Grand Moulas in a newspaper for safety , put it in one of the panniers and went on my way . ",Filling
"The producer sensed the other man 's contempt and rose to wrap up his work , relieved that he did n't have to deal with types like this every night . ",Filling
"The apothecary took my money , wrapped up a bottle in blue paper and handed it over , hardly looking at me . ",Filling
"` You wrap yourself up good and warm and I 'll get the horse and cart from Carys next door . "" ",Filling
"Or grate the rind onto small pieces of freezer film ; wrap tightly , then place in a polythene bag . ",Filling
"Pears are treated in much the same way , but are never wrapped . ",Filling
Fish ( heads discreetly wrapped in paper ) are still hung out to dry in the sun .,Filling
"Louisa put down the book , crossed to the bed and wrapped an arm about Emilia 's shoulders . ",Placing
"Depression now wrapped itself about her , making concentration difficult , while the thought of Silas holding Doreen in his arms brought a sudden flare of honesty that caused her to admit she was jealous . ",Placing
"At last she rose from the water , wrapping a towel about her damp body as she walked to her room , mentally weighed down by her thoughts , and physically wearied , too . ",Placing
"The 6ft carpet snake crept into Calan Lavender 's bed , wrapped its body around him and plunged in its fangs . ",Placing
"Pulling on a sweater and wrapping my long kilt around me , I made my way towards Sheikha Grandmother 's house . ",Placing
"` You 've got to wrap the strap around your foot . "" ",Placing
"It also enabled him to wrap his hand round the glass , even if it had a handle , in a manner peculiarly his own . ",Placing
"Wrap insulating tape round the transmitter , covering the entire device to prevent water penetration . ",Placing
They wrapped old sacks round themselves to keep out the cold . ,Placing
Bruce stirred and wrapped his cloak firmly about him . ,Placing
That magnate looks quite diminished as he crouches in the forward seat with his cloak wrapped awkwardly about him ; but how gloriously his underling has been transformed . ,Placing
Do n't pull them off but dab them with a little paraffin . ,Filling
"She changed her shoes , did her hair , dabbed her neck with Chanel and slammed the bedroom door . ",Filling
"I 'm not here to be a dolly , dabbing his temples with eau de cologne and picking up his wife 's laundry . ",Filling
She dabbed her lips with salt water again and crumbled some of the roasted chicken neck into her mouth . ,Filling
"I have pricked my first blister , squeezed out the fluid , and dabbed it with surgical spirit . ",Filling
She dabbed some perfume on her throat and ran downstairs . ,Placing
"As soon as he came in I made him let me look at his head , and I dabbed some Dettol on it . ",Placing
"Nevertheless , as I dab calamine on my spare tyres , I ca n't deny that this is n't my finest hour . ",Placing
He winced as she dabbed disinfectant on the cut and covered it up for him . ,Placing
"She dabs a little powder on top , and stands back to admire the effect . ",Placing
Dab royal icing onto the base of each petal and stick together . ,Placing
"I mix some sap green with Prussian blue and burnt umber still left in the palette and dab it onto the previously dampened , shaded areas of the greenery . ",Placing
"I picked a fish-louse from it as it lay on the unhooking mat , dabbed a bit of waterproof ointment on a small wound on its flank , then slipped it back into the water . ",Placing
"` If you must add more colour , dab it a little lower down , on a line with your ear lobes . "" ",Placing
"She had dabbed powder over her lipstick to rob it of its bright crimson lustre , and she had forgotten the little pink patches of rouge that gave her cheeks their rosy healthy glow . ",Placing
"He put his head in his hands as the waiter brought over the glass of water ; he sipped it , and dabbed some on his temples to cool them . ",Placing
Pulling out the oval gold Cartier compact she dabbed on a layer of powder and dashed the scarlet lipstick across her trembling mouth . ,Placing
I dabbed a little on each puckered mouth to further shouts of laughter and much dancing about the room . ,Placing
Never spray or dab on perfume before going in sunlight . ,Placing
When Zoser dabbed a little on his wife 's sleeve she took the sleeve and held it up to her nose . ,Placing
"Monteith has painted several of the wooden floors with colourful designs , hung the doors with attractive plaques , and repainted many of the original desks and chairs in cheerful pastel shades . ",Filling
"Women were remarking on the window hangings -- ` You could hang my whole downstairs with one of those red curtains , "" said Mary McCulloch , ` and have a length left over for the beds . "" ",Filling
"He has seen the Peliatan dancers on tour , hung his walls with posters of that photogenic island , bought records of gamelan music . ",Filling
The Great Hall of the school was hung with green drapery . ,Filling
"Drums of powdered milk and dried egg were kept there , and sometimes the walls were hung with dead rabbits and the flagged floor littered with bloody skins . ",Filling
"Further , the streets serve as drying grounds in fine weather ; lines are stretched across from house to house , and hung with wet clothing . ",Filling
"He hung his biggest cage above the library entrance but it kept falling down , capturing the Headmaster . ",Placing
"Sir Nicholas Goodison , the former chairman of the International Stock Exchange , once appeared on television 's Jim 'll Fix it to hang a badge around a small child 's neck . ",Placing
"In July the Galerie Berlin , in its bright rooms overlooking Friedrichstrasse , will hang works by artists represented by the gallery , Werner Libuda , Gerd Sonntag and Siegfried Klotz . ",Placing
"There were only shelves and drawers in the Nannie cupboard , so she was obliged to hang it by the loops of its sash from a hook on the back of the door . ",Placing
"It was almost warm , and Riven hung his cloak by the saddle bow . ",Placing
"One very simple but effective idea is to hang the picture from a picture rail , or higher point , from a length of cord , rather than wire . ",Placing
Working out the length of guttering can be done at ground level ; calculate the length of downpipe by hanging a string from the existing gutters or downpipe . ,Placing
"They took it to the Gallows Hill , Cumnock , intending to hang it from the gibbet but the Earl of Dumfries intervened and stopped them as he feared rioting by the people of the district . ",Placing
It was pleasant to be in the kitchen and Melanie hummed to herself as she hung cups from their hooks and propped the plates . ,Placing
And if you add cup hooks to the edges you can hang things from them as well . ,Placing
I hang my clothes in the wardrobe and put on the plastic gown . ,Placing
"While Thérèse watched , Léonie hung her few clothes in the wardrobe . ",Placing
He hung his trousers on a hanger . ,Placing
He hung his jacket on a hook in the Green Room . ,Placing
Gabriel put them all into a canvas bag and hung them on a nail inside the cottage door . ,Placing
"In the pause that followed , she noticed that someone had hung peanuts on a thread for the birds ; the empty shells looked like shrivelled skulls hung to frighten evil spirits . ",Placing
He looked as if someone had just hung a mop on his nose . ,Placing
"Melanie hung cups on hooks on the dresser ; her arm went up and down , up and down . ",Placing
"On April 24th , the party 's Central Committee met to hang the blame on Mr Gorbachev for the economic mess . ",Placing
We could hang them on the walls . ,Placing
"Ace had hung her coat over a chair in her lab , and was busy rearranging the workings of several weapons with the aid of a set of jeweller 's screwdrivers . ",Placing
"He gave a small , tense smile and watched Tom hang his clothes over a horse near the fire . ",Placing
"She hung the apron over the back of a chair , shoved the sauce under a covering plate , turned off the gas under the fish-kettle in which herb-scented water had begun to simmer . ",Placing
"After some thought , she pulled a chair in front of the hole and hung her coat over the back , so that the hole was blocked up . ",Placing
"Lucy had no wish to be caught eavesdropping , so she walked into the room and hung the towels over the rail . ",Placing
"He had hung the battered sword over the spice cupboard in Lucille 's kitchen , and had claimed to be glad that he would never again have to draw the war-dulled blade from its metal scabbard . ",Placing
"I had to hang blankets over the windows at night , and in the morning they were so heavy with moisture that I had a proper job taking them down . ",Placing
"Unfortunately a fourth hangs a tea-towel over the window at this point , obscuring my view . ",Placing
"A counsellor commented : ` They always assumed I 'd do disability counselling ; they were hanging a label round my neck . "" ",Placing
"It is very easy to put the apostles on a sort of Olympic rostrum , and think that God will hang a gold medal round Paul 's neck , while we get some kind of lesser award . ",Placing
Story has it that when Minton hung this portrait at Allen Street it so offended an art critic that he spat at it . ,Placing
"Riley alleged that because of certain happenings he hung his jacket behind a door and fitted an electrical device and wires to a wallet in his pocket , connecting it with lights in his bedroom . ",Placing
"You can create many different patterns , such as hanging an oval picture between two rectangular pictures . ",Placing
Quickly he hung the offending leg out of the window . ,Placing
They hung him to the hook anyway and moved away . ,Placing
Hang the door within the aluminium frame using only the two outer screws in each hinge . ,Placing
Hang the curtains by inserting one curtain hook into each glider on track or pole and draw the curtains back into an open position . ,Placing
"The staff room should have a locker and/or a place to hang clothes , and nearby there may be staff toilets . ",Placing
"He hung his white shirt , the one that had covered his wife 's legs , over my arm . ",Placing
"There were statues in niches set in the walls , and here and there faded but interesting tapestries had been hung . ",Placing
She hung a bird feeder . ,Placing
"At this stage cut off the complete head and invert it in a paper bag , hanging these in an airy place for a few days until the seeds are quite dry . ",Placing
Fish ( heads discreetly wrapped in paper ) are still hung out to dry in the sun .,Placing
Sprinkle with Golden Granulated Sugar and drizzle with remaining butter . ,Filling
"Quarter figs , top them with some cinnamon-spiced ricotta and drizzle with clear honey . ",Filling
Drizzle with olive oil and top with flakes of fresh Parmesan for an elegant starter . ,Filling
"` If you want , I could probably get Mum to meet you , "" said Josh , drizzling ketchup over his grilled chicken . ",Placing
Drizzle caramel from the end of a fork into irregular shapes onto lightly oiled foil . ,Placing
"Crush a sugar lump and add it to the brandy in which the raisins were soaked ; warm the mixture , set it alight and drizzle it over the pudding just before bringing to table . ",Placing
Top each pizza with grated Parmesan and drizzle 2 x 15ml/tbsp olive oil over each one before baking . ,Placing
"Just before serving , drizzle the soy sauce on top of the chicken and rice and garnish with the spring onions . ",Placing
Drizzle a little vinaigrette dressing over the salad . ,Placing
Passion fruit : eat pulp straight from the fruit or drizzle over ice-cream or sorbets . ,Placing
"Crush a sugar lump and add it to the brandy in which the raisins were soaked ; warm the mixture , set it alight and drizzle it over the pudding just before bringing to table . ",Placing
"4 Meanwhile , toast the bread and , while still warm , rub with the halved clove of garlic and drizzle over a little olive oil . ",Placing
Drizzle over the petits fours from a fork or a small piping bag . ,Placing
"Melt the jelly , leave to cool and drizzle over the cream . ",Placing
Within the hour the good beachcombers are on the spot and loading their sacks with all manner of bounties cast at their feet by providence . ,Filling
"Preferring a neutral approach for such material , Sylvester has not loaded the catalogue with critical judgements . ",Filling
"` That Geoffrey is a wicked geezer , "" Toss said to himself , as he began to load the pram with Geoffrey 's computing equipment . ",Filling
He loaded the barrow with paving stones before running straight through a plate glass window at the B&Q superstore in South Shields . ,Filling
"By loading specific parts of the system with food or water it has been possible to investigate , for example , the role of the stomach in the termination of eating and drinking . ",Filling
Two girls are loading the donkeys with water containers and sacks . ,Filling
"Just as you should not overload your argument with cases , you should not load it with too many separate points of law . ",Filling
Did you know that Cecil Beaton could n't even load his own camera ? ,Filling
"THE DETECTIVE : When you load the gun , then you know what you 're holding . ",Filling
"The main complaint was that Microsoft offered large discounts to PC makers who agreed to pay for a copy of MS-DOS or Windows for every machine they sold , whether or not it was actually loaded with one . ",Filling
"Quickly loading the Very pistol with the red cartridge , Larsen aimed it at the open skylight and pulled the trigger . ",Filling
"The local people naturally defend their crops , usually with totally inadequate weapons such as ancient shotguns loaded with buckshot . ",Filling
Allow sufficient time for your beneficial bacteria to build-up in your aquarium or pond system before you begin to load with livestock . ,Filling
"We 'd have our packs loaded with various weights and we 'd march 100 yards measuring the length of pace , the time it took . ",Filling
"He reloaded , fired at a sniper eighty yards away , missed and loaded again . ",Filling
"In December 2002 , Spanish and American naval forces intercepted a North Korean ship loaded with Scud missiles , but then allowed the ship to proceed to deliver the missiles to Yemen . ",Filling
"` You 'd better help Betty load the stuff in the car . "" ",Placing
She watched -- helpless again -- as Mrs Taxos loaded luggage in two panniers on one of the donkeys . ,Placing
By this time the respondent had loaded the goods into a van and rejoined Mr. A. in the key department . ,Placing
The occupants jumped out and began to load packages into a waiting truck . ,Placing
"Miss Bradley , of Crowthorne , Berks , was stabbed repeatedly in the back with an eight-inch carving or butcher 's knife as she loaded shopping into her car in Acton Town , west London . ",Placing
Communication will have failed if the listener does not discover which platform the train leaves from or how to load the program into the computer . ,Placing
Leo carried the pile of crockery into the kitchen and began to load it into the dishwasher . ,Placing
"Then , without more ado , he loaded the horses into the trailer . ",Placing
Use Extended memory and load smartdrv into Upper Memory Blocks if you 've got EMM386 active as a UMB provider . ,Placing
It 's practically impossible to say no to someone who 's actually loaded their rucksack into your boot and clipped on their seatbelt . ,Placing
"By the time I arrived he had loaded the door on his truck , and I drove up with him . ",Placing
Taking the boats out of the water and loading them on the cars is a chore . ,Placing
"Derek , 40 , and Luke 's dad Kevin had just loaded a car on the trailer and begun to move it when Luke slipped under . ",Placing
"The men , from Pickfords Removals , were loading a machine onto a trailer when part of it collapsed , trapping the men beneath them . ",Placing
"There they sold half their animals , bought goods with the proceeds , loaded them onto the remaining animals and returned to Kufra , resuming the annual north-south movement . ",Placing
A hydraulic grab loads sand from a ground dump into the 13-ton wagons of an East Lancashire Railway goods train on July 23 . ,Placing
"` Were there any problems loading the cargo on to the train ? "" ",Placing
"Standing up , she began to load the tea-things on to a tray . ",Placing
"Measuring 14.5 cubic feet , the boot in the Mercedes is very wide ( up to 58 inches ) but considerably shorter and the sill height of around 31 inches could make it awkward to load heavy cases . ",Placing
"A cannon requires a full crew to work properly -- to carry cannon balls , load gunpowder , push the machine round to bear on its target , and so on . ",Placing
The container will then be sealed and loaded onto one of the trucks in the morning . ,Placing
"Early the following morning we loaded our equipment aboard , and left that ghostly cluster of space arcs embracing the reddened circle of standing stones . ",Placing
"The explosives handling jetty at Coulport , on Loch Long , will provide a shelter within which the new Vanguard-class submarines will load their Trident missiles and torpedoes under cover both from the weather and overflying spy satellites . ",Placing
"With the fully charged battery in place , you are now ready to load a tape cassette , following the instructions . ",Placing
"Unbecoming as it was to their cred , the embarrassed band loaded themselves and gear into the vehicle and tried very hard indeed not to be seen getting out of it at the other end . ",Placing
"In wartime , formulated agents would have been loaded into a variety of delivery systems , including aerial bombs and ballistic missile warheads .",Placing
The mistake most beginners make is in loading too much paint on the bristles .,Placing
QN : Do people who are new to painting often load too much paint on the brush ?,Placing
"You have the choice of being snooty and tutting at people sitting in their cars , packing their faces with hot dogs , or you can pack your own face with a hot dog before you set out . ",Filling
Day and weekend sacks are light enough for you to simply pack them with accessibility to key items of equipment like waterproofs the main priority . ,Filling
He packed his suitcases with clothes and books . ,Filling
If that does not work try packing the nostrils with cotton wool and and applying ice cubes to either side of the nose . ,Filling
"Next , pack the nose with cotton wool or gauze and make sure that you inform the referee in subsequent fights that you sustained this injury . ",Filling
"Run it into two uplifts at opposite ends of the tank , and pack it with filter floss and carbon . ",Filling
His lectures were above all popular because he packed them with information . ,Filling
The method used in the past few years has been simple -- ignore names put forward by organisations you do not approve of and pack the committees with more sympathetic interest groups . ,Filling
I did as she said but they were two sizes too big for me ; they fitted better after she had packed the toes with scraps of wool . ,Filling
"When at last the work was finished , Mina and Kāli packed a basket with some clean clothes and went together to the stream to wash . ",Filling
She even packed a bag for each for them . ,Filling
"Turn round day is a bit hectic for us , so we suggest you pack your bags in the morning , leave them in our safekeeping , and disappear to explore for the day ! ",Filling
"As she quickly packed a bag before preparing dinner , it suddenly struck her what a risk she was taking . ",Filling
Now the programme that turns the cameras on teenagers and let's them do the talking and the interviews has packed its newest series with just the subjects their viewers want . ,Filling
"Accordingly Baldwin packed his suitcase , instructed his parliamentary private secretary to do the same , and set off yet once more in the small black car . ",Filling
"That was a hint to Chris , who was sitting beside the basket that had been packed by Molly Fletcher . ",Filling
This means that the pots must be packed very full and the contents pressed and pressed until they are as tightly packed as possible . ,Filling
"She carefully packed her case again , then scanned the tidy bedroom and bathroom with some satisfaction . ",Filling
It was on a Friday night and I had packed my suitcases and taken them around to Rachel 's house so her dad could stack them on top of the car . ,Filling
"They have n't started packing their suitcases yet , but they fear it may be inevitable and they 'll have to come to terms with a completely new existence . ",Filling
"1- Sheik of al-Bubali tribe in al-Jazira , Sheik Sarhan , who 's one of the traitors , and every time one of their traitors gets killed , he shows outrage and packs his tribe with their guns against the brothers .",Filling
It 's so attractive and so easy to reach that it 's packed with sunbathers all summer long .,Filling
"Pack everything in a box , and keep it somewhere accessible -- ideally near the fusebox . ",Placing
"Behind them , housewives now pack .38s in Gucci handbags , learn to train Rottweilers in close attack work and sign up with security firms such as Armed Response . ",Placing
"He left John Fox , 25 , screaming in pain as his mum and horrified regulars packed his severed ear in ice . ",Placing
"They were glad to see it , as they had packed some food in one of the suitcases , and directly the porter had gone they set about preparing a meal . ",Placing
She packed her mail in the saddlebag . ,Placing
"He would then pack them in wooden barrels , till he had a truck load , and then would send them direct from Plowden Station to the dye works where they were used . ",Placing
Lowden have managed to pack a big sound into a small package and the end result is a guitar that can cope with anything from basic stage accompaniment to virtuoso-standard fingerpicking . ,Placing
"Her mother , Valerie Cass , was busying herself , packing things into a small overnight case . ",Placing
At most colleges GCSE candidates pack two subjects into a week ; A level students take one at a time . ,Placing
The robbers opened the strongroom and packed the cash into bags . ,Placing
"They packed five players into midfield to snuff out any Celtic creative instincts , and assistant manager Gerry Collins was delighted with the ploy . ",Placing
"If it was a warm , sunny day we would pack all our belongings into the caravan and then we would head to the beach or we would go swimming in the pool on the park . ",Placing
He began to pack things into the picnic basket . ,Placing
Mum paid for her shopping and gave Stuart the long receipt and they finished packing their bags into the trolley again while the supervisor took the cash from their till . ,Placing
Henry started to pack the plates into the washing-up machine . ,Placing
"She began gathering plates and cutlery , then packed them into their hampers while the two guides dismantled the barbecue . ",Placing
The following companies are featured in a short season that packs sixteen events into three days . ,Placing
"Although laser discs are used today mainly for music , you could pack the whole Encyclopaedia Britannica onto one of them , and read it out using the same laser technique . ",Placing
Fairfax 's steward has packed sandwiches for us and an ancient vacuum flask of tea . ,Placing
"Nearly all the red-tiled-roof homes along the ridge line , high above Sarajevo , were deserted , with the last remaining people hurriedly packing their belongings on to cars and wagons . ",Placing
"Apart from the weapons , he had packed two sweat-shirts , some underwear and his toiletries . ",Placing
"Go and pack a few things , enough for a couple of days . ",Placing
"It is made from the liver , lungs and heart of a sheep with the addition of oatmeal and spices , all of which is packed into the sheep 's stomach . ",Placing
"She left the stove , grabbed her holdall and began packing everything back into it . ",Placing
She had finished and packed her things when Lucy Grindal came in with a young woman . ,Placing
"Go and pack your things right now . "" ",Placing
"I 'm goin' down the market now , then I 'll go 'ome and pack a few weekend things , then I 'll be back 'ere till Tuesday mornin' as it 's Bank Holiday . ",Placing
Trimming costs even further is easy if you 're willing to pack yourselves in like sardines as the French normally do . ,Placing
