Sentences,Frame
"The court also heard from medical experts who found traces of half a bottle of whisky , and cocaine in Kim 's body . ",Containers
Allow about half a bottle of wine per person or the equivalent in other drinks . ,Containers
Maurin brought an already opened bottle of wine . ,Containers
"` I was just attempting to prevent a severe loss of temper on your part , "" he drawled smoothly , removing a cold bottle of wine from the fridge . ",Containers
"He emptied a bottle of champagne into the Commanding Officer 's silver tankard , and reached for another . ",Measure_volume
From one of the voluminous pockets he produced a bottle of Scotch and put it down on the table . ,Measure_volume
"So the cost of a bottle of whisky that you buy on the plane home from holiday , is made up of both the manufacturer 's price and the airline 's profit . ",Measure_volume
The colour lasts up to five washes and a 100ml bottle gives between 12 and 15 applications . ,Measure_volume
"An a la carte three-course supper for two with a bottle of very drinkable Moroccan red at , say , Le Petit Poucet comes to £10 all in . ",Measure_volume
"At a cost of one hundred and fifty thousand zlotys , about eight pounds , I buy Elena and Barbara a bottle of ` champagne "" . ",Measure_volume
"` I 've bought a bottle of really nice sherry , and some wine . ",Measure_volume
"If he added a bottle of wine , the occasion would be quite festive . ",Measure_volume
"Later that Christmas Gabriel had drunk a bottle of rum watching a pirate film on the television , and she had known then that , really , it was all over . ",Measure_volume
"They drank a bottle of champagne ( 15s. seems to have been the standard charge at that period , 1s. each for liqueurs ) . ",Measure_volume
"Last month a coroner recorded a verdict of accidental death on the young Marine , who had drunk four or five bottles of lager and six quadruple or triple glasses of a mixture of whisky and vodka . ",Measure_volume
"Jennie summed up the problem in an instant and walked along the row pouring a bottle of disinfectant on their injuries , doubling their pain . ",Measure_volume
He allowed himself to be filmed on television absent-mindedly pouring a bottle of Petrus into the stew . ,Measure_volume
"Then he dropped the rest of the portion back on the plate , went to the fridge , poured the dregs of a bottle of wine into a glass and drank it . ",Measure_volume
"They used to share a bottle of wine , Don reflected . ",Measure_volume
Peter and Nick were sitting on the sofa sharing a bottle of whisky with Sara 's backgammon board between them . ,Measure_volume
"They shared a bottle of Barolo , then made their way back through the Lanes to the Conference Hall and stood on the sea-front opposite the entrance , watching the arrival of the Great and the Good . ",Measure_volume
"I wheedled a look out of her after we 'd shared a bottle of wine last night . "" ",Measure_volume
He opened the bottle of beer . ,Measure_volume
"There is no barman but the hotel receptionist , under duress , rummages a bottle of beer from a tin box and wanders away in search of a glass . ",Measure_volume
"Even after the Man City pitch invasion against Spurs , they still serve bottles of beer at the burger bar . ",Measure_volume
But Mr Onanuga is adamant that he sold Mr Lamont three bottles of Australian wine and two packets of Hamlet cigars for a total of Pounds 18.37 on a Gold Access card . ,Measure_volume
Rufus had a bottle of red wine but he was drinking the wine out of one of Hilbert 's brandy glasses . ,Measure_volume
"Alternatively search out a cellar bar or a ` Heuriger "" in the suburbs and order a bottle of wine . ",Measure_volume
I ran a fragrant bath through muslin bags of mint and lavender and flung my clothes onto a chair eager to get in . ,Containers
"Above him hung a cellophane bag of yellowy liquid , a tube carrying that vital plasma into his arm , somewhere below the lower extent of his field of vision . ",Containers
"He also handed him his bag of tools and said , ` You 'll be wanting these , before you go . "" ",Containers
"The old man went on his way , and I put my bag on a supermarket trolley and wheeled it off to look for Mr Coary . ",Containers
"Emil briefly consulted a notebook , stowed his travel bag on a rack in a small bedroom and directed me to put my big in the one next door . ",Containers
"Placing her bag on the table , she halted beside him as she looked vaguely round for a mug . ",Containers
"From here they must await their wave , drop into it , and be swept beneath the overhang into the cave where they grope around in total darkness filling their bags with birds ' nests . ",Containers
He dumped his overnight bag with mine and I went out to tell the driver we were just coming . ,Containers
They scrabbled at her bag . ,Containers
As she passed the new couple her beach bag caught the Factor 15 and knocked it off the table . ,Containers
"But even as she was unslinging her canvas bag , so the group moved off to the lifts again . ",Containers
Tied loosely around the strap of her shoulder bag was a navy and yellow scarf . ,Containers
He zipped up his tool bag and hobbled away before Endill had the chance to reply . ,Containers
I contemplate the thought of days spent looking along the length of Tony 's tripod bag . ,Containers
"It 's handy to have a baby changing bag packed and ready to go with the nappies , wipes and anything else you 'll need . ",Containers
` He had wanted to be a doctor since he asked for a medical bag for Christmas when he was six-years-old . ,Containers
"He had set down the bag of washing on the floor between his feet , for she had n't been able to manage the washing since last year 's fall . ",Containers
"Meekly , Tim repacked the bags as Oliver stood over him . ",Containers
He was clutching his carrier bags and he seemed no different from usual ; in fact he was n't even looking at them . ,Containers
She swung the boot cover up and reached inside for the two carrier bags of supplies . ,Containers
"With heaving stomach , Kelly had gone to the kitchen , tipped the burnt remains of her cat into a plastic bag and took it downstairs to bury it in the garden . ",Containers
"I snagged the plastic bag , water got in , soaked my socks and the outside froze . ",Containers
Plastic bags can choke animals and broken bottles can cut them . ,Containers
"Do not come to an interview encumbered with a lot of clutter like parcels , scarves , large shopping bags , and shoulder bags , which make you look burdened down . ",Containers
"The shopping bag lay on the pavement , bright oranges rolling to rest in the gutter . ",Containers
"Further into town , there were more people , many carrying white plastic bags , clearly filled with booty from looting expeditions . ",Containers
"Miss Logan carried a small bag of lemons , which had also been advised . ",Containers
He paid Knocker and picked up his bag of bottles . ,Containers
Finally a man arrived from the dairy with their bags . ,Containers
"Underneath these things were some papers tied up inside a cloth , and a bag of gold coins . ",Containers
He gave me a ten bob note and a bag of tomatoes . ,Measure_volume
"To the first he gave five bags of gold , to the second , two bags , and to the third , one bag of gold . ",Measure_volume
"She also claimed that her minister , Thomas Clendon , had attempted to confiscate three bags of her money , worth £953 6s. 8d . ",Measure_volume
Her very ordinariness was celebrated ; everyday gestures such as opening a car door herself or buying a bag of sweets were acclaimed as evidence of a very human princess . ,Measure_volume
"Salt -- again buy a large bag and use as a pond additive at 1 z per-gallon as a stress removing antiseptic , or 5oz per gallon as a short term bath . ",Measure_volume
"Tammuz was watching TV alone , eating a bag of Munchi-Chipz . ",Measure_volume
She was eating from an extra large bag of potato crisps and digging the stuff out in handfuls . ,Measure_volume
A bag of gourmet jelly Wunder beans makes an ideal Christmas stocking filler . ,Measure_volume
"After all , many of those he was up against would have been miners , like his five brothers , like Ifor who could carry a bag of cement under each arm . ",Measure_volume
"It saves throwing away the remains of a large bag of cement , too . ",Measure_volume
All a long way from a pint of mild and a bag of chips after a night at the City Varieties …,Measure_volume
Take an example : Mrs. Jones telephones her coal merchant asking him to deliver six bags of coal . ,Measure_volume
"Terry did n't appear to have thought about this before and he puzzled over it , staring into his bitter and a bag of smoky bacon crisps . ",Measure_volume
"Six juveniles were arrested after breaking into Park View garage , at Chilton in which an £800 window was smashed and 12 bags of crisps taken . ",Measure_volume
"My little boy honestly prefers a bag of nuts or fruit , and is n't partial to anything sweet or sugary . ",Measure_volume
The case involved the sale of a specific lot of 700 bags of nuts lying in the seller 's warehouse . ,Measure_volume
Yeah we 've got a bag of potatoes . ,Measure_volume
"Chief Joseph is here , and says he will surrender for two hundred bags of sugar . ",Measure_volume
To give you an example : in our house a two pound bag of sugar lasts six weeks . ,Measure_volume
"Therefore , when I open a bag of sugar , I write on the sixth page o f my notebook ` 2lb sugar "" . ",Measure_volume
4 Now many 250g bags of sugar can be filled from a 20kg sack of sugar ? ,Measure_volume
Glasses for red wine and for white at each place . ,Containers
Lais lifted her glass in a mock toast and smiled at her sister . ,Containers
Amy finished the brandy and put the glass on the table . ,Containers
"He balanced the empty whisky glass on the window-sill and gave his nose a last wipe , pocketing his hanky . ",Containers
A suffragi went by carrying two sherry glasses on a silver tray . ,Containers
"There was an open book on the sofa , a basket of ready-chopped wood near the stove , even a half-full glass on a table . ",Containers
"However , you 're quite right , of course , "" he added , before lifting the glass to his mouth . ",Containers
"Peter refilled her glass with champagne , a smile of anticipation touching his lips . ",Containers
David plied her empty glass with more wine . ,Containers
A barman was polishing glasses with his back to Rain . ,Containers
` It is like a glass of dirty water . ,Containers
He nodded politely to Wakelate and took the glass of brandy with a crooked little finger . ,Containers
"The glass of wine chilled Sara 's hand , she listened to the sharp-ended sentences flicking through the air as her husband and Nicholas spoke . ",Containers
She turned away abruptly and snatched up a glass of champagne as a waiter passed by with a tray of brimming glasses . ,Containers
She drained her glass and insisted that we go up at once and inspect the top floor of the house . ,Containers
Peggy took another sip from her glass . ,Containers
She stared glumly down at her brandy glass . ,Containers
"She reached for her brandy glass , her fingers tight around it . ",Containers
"Still clutching her champagne glass , she hurried from the terrace and made her way along a path through the garden towards the sea . ",Containers
Guido drained his whisky glass and laid it down on a nearby table . ,Containers
"Pekin dinner service , silver cutlery , crystal glasses , showy white napkins , all in order . ",Containers
He had begun to dry the glasses . ,Containers
Here they accepted others cannoning into their backs as they ate and occasionally dripping overflowing beer glasses on to their tables or even down their necks . ,Containers
"Steven wandered off , found a glass of champagne and some people he knew , and was soon having a good time , and did n't see Jean being called away to the phone . ",Containers
In his left he balanced a glass of scalding hot tea . ,Containers
He washed and went out to the nearest bar for a tall glass of water and a coffee . ,Containers
"And a tall , slim glass of passion-fruit juice reminded her of Jez . ",Containers
"We sat at the upstairs bar with two tall glasses of iced white Eger wine , for which I paid . ",Containers
Someone could have put it away or be using it to sweep up a broken wine glass . ,Containers
Rufus had a bottle of red wine but he was drinking the wine out of one of Hilbert 's brandy glasses . ,Containers
"Having waved them to a table , he flourished two wine glasses , which he filled to the brim with an excellent Chianti , before heading for the kitchen . ",Containers
They clinked their glasses and she tucked into her lobster . ,Containers
"With another chuckle , Donal clinked his glass against hers . ",Containers
Desmond grinned across the restaurant table at Shiona as they clinked champagne glasses together . ,Containers
"Irritated by their arrogance , he stood then went across , filling Lever 's glass from the wine kettle . ",Containers
"He looked round uneasily , and Alfred stepped forward to fill his glass with white wine . ",Containers
Oliver ate his share of the food and was then given a glass of gin-and-water . ,Containers
His mother put him to bed and gave him a glass of medicine . ,Containers
"` Odd , when you come to think of it "" -- he handed her a full wine glass of gin -- ` but they say he 's like he is because his father and mother were religious . ",Containers
He handed a glass of wine to Leonora . ,Containers
"Damian walked back to her , handed her her brandy glass . ",Containers
He raised his glass of wine and downed half the contents in one gulp . ,Containers
Father Devlin raised his glass in a toast . ,Containers
He raised his wine glass in salute . ,Containers
"As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .",Containers
"After dinner , a glass of Madeira or port is recommended to round off the meal .",Containers
"` Thank you , "" she said when Mr Sanderson handed her a glass of sherry . ",Measure_volume
"This is done by pouring a glass of rum on the grave of a person newly dead , then calling their name until they appear . ",Measure_volume
Another stirred one of two glasses of beans with his finger for tiv ( he had added and subtracted appropriately in response to more and less ) . ,Measure_volume
She sat down and poured a glass of orange juice . ,Measure_volume
Iraqis traditionally offer guests a small glass of very hot tea and drink it three or four times a day themselves . ,Measure_volume
"You could try adding a glass of white wine , an onion and a little celery and leek , if you must , but make sure that the court bouillon is cold before you start . ",Measure_volume
"He took a deep breath , and drank a glass of water in one go . ",Measure_volume
"Jen went to the sideboard and took the half-full bottle of ` cheap Italian "" of which Helen expressed herself very fond , although she never drank more than two glasses . ",Measure_volume
"He should have a glass of water with each meal , at least , and possibly in between meals if his environment is very warm , or if he is doing a lot of active therapy . ",Measure_volume
One day we were having a glass of beer with Richard Burbage at the Boar 's Head in Eastcheap . ,Measure_volume
"Paul and Bill have a glass of Bud each : Bill 's third , Paul 's fourth . ",Measure_volume
"We then had a bowl of fruit salad , and there was change from the price of a glass of beer . ",Measure_volume
He came back with two glasses of beer and handed one to Ellis . ,Measure_volume
"Later that night she came into my room in her kimono , bringing me a glass of champagne and carrying a book . ",Measure_volume
The housemistress even presented me with a glass of milk at lunch . ,Measure_volume
Three or more glasses whole milk daily for children . ,Measure_volume
Harvey poured two glasses of milk and put two doughnuts on to paper plates . ,Measure_volume
"Callers of any sort were scarce at Four Winds , mostly people who came asking for directions or even a glass of water when the weather was hot . ",Measure_volume
"He said , ` A glass of mineral water , please . ",Measure_volume
"Carrying two glasses of water on a tray , Veronica was in her dressing gown at the foot of the stairs as they walked in . ",Measure_volume
"All aim to restrict calorie intake but most allow for one small treat a day , such as a small glass of dry wine or a chocolate biscuit . ",Measure_volume
"If you believe that a glass of wine will sell a motor car , you are underestimating the customer . ",Measure_volume
He passed Edouard a silver box in which cigarettes of kif mixed with tobacco were ready-rolled . ,Containers
Zurachina was in the next room ; Burun could hear her ordering the slaves to unpack the boxes of bed linen . ,Containers
"Mr Dyson was stocking up with sacks of flour and sugar and boxes of dried fruit , and the shelves high on the walls of the shop carried forty-eight pound jars of jam and mincemeat . ",Containers
She took out the tin box of letters and carried it back with her into the kitchen . ,Containers
He noticed Willie looking at the black box on the stool . ,Containers
He placed the box on the bed . ,Containers
I filled up cardboard boxes with its contents and took them down to the local charity shop . ,Containers
I devised this one for a sewing box with a 50mm deep lid . ,Containers
"The conductor would send me round to the front with my fishing box , the driver would send me back to the conductor 's end and so it went on . ",Containers
Then he took his sandwich box and his thermos of coffee from his briefcase . ,Containers
"They have a tent in there too , and a weird Wendy House made out of the clothes-horse , and heaps of cardboard boxes that are supposed to be trains and shops and caves . ",Containers
Start collecting boxes and packing cases ,Containers
"Land managers are being encouraged to manage woodlands in ways which will favour the dormouse , including introducing nesting boxes . ",Containers
Some were taking boxes and drums off the lorries . ,Containers
As he was leaving he turned around and threw a small box on to the bed . ,Containers
The idea of the bridge was to get an ammo box from one side of the bridge to the other . ,Containers
"Turning , she hobbled back to her room as fast as she could and took her jewel box out of the drawer . ",Containers
"The young boy was waiting , a box of freshly baked bread beside him . ",Containers
"As he spoke , a jeep sped past carrying boxes of ammunition and explosives , and ten Iraqi mujaheddin with Islamic slogans on their headbands . ",Containers
He carried several parcels and a box of bottles . ,Containers
A procession of Treasure Island pirates carrying cardboard boxes bulging with beer bottles were already noisily boarding the coach . ,Containers
"Ranulf was about to reply when Dame Agatha suddenly emerged , carrying a small wooden box of altar breads , so they went across the green to reclaim their horses . ",Containers
"Aidan Marron , defending Hardman , said his client played a lesser role in the market incident and had helped carry away boxes of fish products . ",Containers
"After Angela had left to wash up , her husband continued to stare for some time at the beautiful jewels so expertly crafted and superbly cut before he finally closed the box . ",Containers
He went to close the box but she grabbed his arm . ,Containers
A mewling sound from the cardboard box attracted his attention . ,Containers
She fumbled feverishly in a fancy box on the table for a paper handkerchief . ,Containers
"The shop was bare , the books packed in boxes or sent away . ",Containers
"He shrugged , put the cartridge back into the box , checked the gun and turned to look at me . ",Containers
I lean into the compost box to grab a double armful of grass cuttings which I take to the courgette beyond the shed and carefully place around the stem . ,Containers
Stork Embroidery Scissors are unmistakeable in their appearance and make a handsome addition to the sewing box . ,Containers
"Following the example of Blue Peter , they all make use of old cheese boxes or the cardboard tube from the centre of toilet rolls etc . ",Containers
"I am sitting by the side of a hospital bed watching Stewart trying to open a box of chocolates that Sir has brought him from me , if you get it . ",Containers
She opened a small round leather box to find that it contained tiny gold collar studs and several pairs of cuff links . ,Containers
"Adam walked over and selected a large , gold-wrapped box of Lindt chocolates which the girl behind the counter gift-wrapped and placed in a carrier bag . ",Containers
My grandmother had a beautiful satin box with flowers painted on the cover . ,Containers
He left a box of matches and rags outside his Cardiff shop to make the fire look like a Halloween prank . ,Containers
"They can no longer be just a box filled with gaming tables , restaurants , and a showroom .",Containers
"With a spud , a tin box , and an elementary book on botany , there are instructive days to be spent . """,Containers
"Pack them carefully in boxes of peat , peat substitute or sand ",Measure_volume
The box of dolls ' clothes is on the table . ,Measure_volume
"Children often find endless pleasure in sorting and re-sorting boxes of buttons , odd pieces of materials , pebbles , a ` lost pieces "" tray and other inexpensive collections . ",Measure_volume
"But the only clue to the identity of the photographer was the word ` self "" , written on a box of negatives . ",Measure_volume
"The young boy was waiting , a box of freshly baked bread beside him . ",Measure_volume
"She worked the slide of the Beretta , then took fifteen rounds from the box of 9mm ammunition . ",Measure_volume
He had also rather reluctantly bought a box of chocolates for his mother and a box of cigars for his father . ,Measure_volume
I ca n't remember when I first bought a box of Neocolor crayons but I do remember wondering just what they 'd do . ,Measure_volume
He nipped out to the off-licence at lunchtime and bought her a huge box of chocolates . ,Measure_volume
"The small fishing rod he had bought , with the reel and the box of flies , was still in Stuart 's cupboard . ",Measure_volume
If you are given a box of chocolates they should not represent ruin and damnation . ,Measure_volume
"` I have seven hundred and seventy Swiss francs left , "" said Adam , thumbing through some notes , ` and while we 're here I must get my mother a box of decent liqueur chocolates . ",Measure_volume
"Economic Man , seeing two boxes of chocolates , of which one is cheaper because the manufacturer has not had to pay for consequential damage to some third party , would choose that cheaper box . ",Measure_volume
She gave him a mental image of Robert Preston waiting outside a nightclub with flowers and a heart-shaped box of chocolates . ,Measure_volume
"The shop was well set out : the window showed dummy boxes of cigars under the headings of Havana , English , and Mexican ; there were boxes of cigarettes , Egyptian , Turkish and even American . ",Measure_volume
"“ Well ” — he turned and looked towards the window — “ I noticed as I passed that you had a box of Havana cigars , the … the Excepcionales . ",Measure_volume
"The traditional story is that Edison sketched out the idea to his mechanic John Kruesi , who built it and bet a box of cigars it would not work . ",Measure_volume
"They 've had people leaving boxes of cigars and bottles of vintage port and silver-topped canes and even wigs and sets of false teeth , apart from all the other obvious things . ",Measure_volume
"My favourite cartoon is of a businessman standing in Wall Street selling boxes of matches and around his neck is a placard which says : ` I left it all to expert advice . "" ",Measure_volume
The smallest being the size of a box of matches to the largest which are capable of winching a 40lb load . ,Measure_volume
He left a box of matches and rags outside his Cardiff shop to make the fire look like a Halloween prank . ,Measure_volume
I threw a box of matches at him . ,Measure_volume
He thrust a cigarette pack in her direction . ,Containers
Quinn hefted the pack in his hands . ,Containers
"In response , AI sent out information packs on the case of Nahamán and people to write letters to the relevant authorities . ",Containers
"` Very good , "" I replied , placing my pack on the bed . ",Containers
The Special Stamps themselves are dispatched in protective packs on the day of issue . ,Containers
"Laying my pack of cigarettes on the table , I lay back on the bed and looked at the ceiling . ",Containers
"Moving to the sideboard , she picked up a pack of Chesterfields and lit one with trembling hands . ",Containers
"The stocky Frenchman gazed at him impassively , fishing a pack of cigarettes from the top pocket of his blue overalls . ",Containers
"Choose from Ratatouille Grill and Macaroni Cheese Grill , both £1.59 for a pack of four and Cheese and Vegetable Burgers , £1.49 for a pack of three , available from supermarkets and food stores . ",Containers
Rayleen raised her eyebrows to the heavens and reached into her clutch bag for a pack of cigarettes . ,Containers
"I picked up my pack , slung it over my shoulder and crossed the little bridge over the burn . ",Containers
"Abandoning sleep , he took out the letter from his breast pocket and lit a stub of candle he found in the side compartment of Tyson 's pack . ",Containers
"He dropped his pack , unbuckled his sword and propped it against the wall , then turned to rake Isabel with eyes as sharp as the wicked-looking blade behind him . ",Containers
Isabel had n't searched his pack . ,Containers
In a symbolic gesture of renunciation Kersey pushed his cigarette pack farther away . ,Containers
"Harrington 's aircraft was hit by a cannon shell in the forward fuel tank , another hitting his parachute pack ; he was unhurt , but his Hurricane was a total write-off . ",Containers
"Uncertainly , Henri drew forth his tarot pack and spread the cards in a fan . ",Containers
"The success of JS in this area was recognised at the ` Britain Can Make It "" exhibition when , in the Printing and Packaging Section , our coffee berries and semolina packs were selected as outstanding examples . ",Containers
"Three lorries loaded with catering packs and worth a total of £160,000 were stolen from the Cairns and Brown compound in Washington . ",Containers
"` Batteries , "" he said , and he brought a battery pack out of his shirt . ",Containers
Jack Firebrace concentrated on keeping a straight line under the weight of his pack with its extra digging tools . ,Containers
"Each man , NCO , and officer had his personal bearer , a criado who carried his pack , blankets , and other gear except his weapons . ",Containers
"Carry your spares in their original bubble pack or , if loose , wrap each battery in plastic . ",Containers
"Piz Buin has the smartest selection — the Ski Pack contains sun cream , clear sunblock and five coloured zincs for £9.99 . ",Containers
Jack finished his tea and put some cigarettes from his pack into his top pocket . ,Containers
I 've put the Thermos of water in your pack -- use it sparingly . ,Containers
"Taking out his pack of Strands , Michael lit one slowly . ",Containers
With clumsy fingers he took out a pack of cigarettes and tried to light one . ,Containers
He took one of my cigarettes from the pack on the table . ,Containers
"Gillian offered Ray a pack of Marlboro Lights ; he released her hand , took one and lit her cigarette , then his . ",Measure_volume
"Packs of tested components are a different matter , and these represent the best way for beginners to obtain a useful stock of components for a modest outlay . ",Measure_volume
"Sainsbury sell packs of 12 mini party eggs at £1.19 , and vegetable rolls at £1.25 for 30 . ",Measure_volume
I am not averse to packs of information on what happens when someone goes into prison . ,Measure_volume
"` I 'll bring a pack of cards as well , "" said Joe on his way out . ",Measure_volume
"Michelle took a pack of cards , creased with repeated use , from the sideboard drawer . ",Measure_volume
The pack of cards was shuffled and the subject held the cards face up in one hand . ,Measure_volume
"The stocky Frenchman gazed at him impassively , fishing a pack of cigarettes from the top pocket of his blue overalls . ",Measure_volume
"He pulled a pack of cigarettes from the breast pocket of his denim shirt , and offered one to Estabrook , who declined with a shake of his head . ",Measure_volume
She had smoked one pack of cigarettes daily for six years and was taking no medication . ,Measure_volume
I bought a pack of cigarettes -- the brand an indistinguishable smear- and lit one up . ,Measure_volume
Cook a 4-oz. pack of frozen peas or runner beans and serve with an uncooked grated sharp-tasting eating apple to save the trouble of making apple sauce . ,Measure_volume
SHOCKED Colin Creasey saved a kitchen fitter 's severed thumb by keeping it in a pack of frozen peas . ,Measure_volume
Both explained that small packs of products were not only more convenient but also meant less wasted packaging . ,Measure_volume
"Here 's a pack of barley sugar all for you . "" ",Measure_volume
"` Come and join me , "" he suggested , tearing open a pack of sugar . ",Measure_volume
"At that moment the coffee arrived , and as Luce opened a pack of sugar and stirred it in he remarked , ` I see you 're engaged , Miss Weston . "" ",Measure_volume
"Asda in Bedminster , Bristol , sold 60 extra cases of alcohol using the loophole last week . ",Containers
She had a satchel by her feet and a violin case on her lap . ,Containers
"The laughter still in his eyes , he put her case on the ottoman at the foot of the bed , turned and went out . ",Containers
She took a thick manila envelope from her attaché case . ,Containers
“ My jewellery case and all its contents to my daughter Sabine ” . ,Containers
Has anyone pinched my spectacle case ? ,Containers
Your travel case reminded me of it when we left the hotel . ,Containers
Both have a universal carrying case and charge capacity indicator . ,Containers
"The processes of making pottery are demonstrated here , and the building complex includes an engine house and a saggar maker 's shop , where fireclay cases were made for holding batches of pots during firing . ",Containers
We found a solitary gasolene pump and got the owner of it up from his couch of rags in a kennel-like shelter of tin and packing cases that rattled and moaned in the fitful wind . ,Containers
"They are supplied complete with a multi recharger , battery pack , and hinged carrying case . ",Containers
"As well as a steel carrying case , the drill comes with battery pack , charger , chuck key and a double-ended screwdriver bit . ",Containers
"So that the searcher can go directly to whatever shelf or filing case is appropriate , the number may have to be complex . ",Containers
"As it happened , I emerged a little late and I fear I rather startled the young gentleman , who immediately pulled his attaché case away from me and clutched it to his chest with both arms . ",Containers
"Charming , my dear ! "" he muttered through closed teeth , throwing his Louis Vuitton overnight case on to the sofa . ",Containers
"Use to fill the pastry cases and bake immediately in the pre-heated oven for 10-12min , until set . ",Containers
Fill the pastry cases with one of our fillings and divide the cream mixture between the quiches . ,Containers
Pour into the pastry cases and bake for 6-9 minutes . ,Containers
A really solid black plastic case with a real key copy of the Spectrum 's existing keyboard on the left and a 12-key numeric/editing keypad on the right . ,Containers
"The early machines , the 1512 and the 1640 , used plastic cases and a non-standard size . ",Containers
"And that bug must have been inserted in my case before I left Helsinki -- without my knowledge . "" ",Containers
Now I 've written on the pencil case . ,Containers
Place the pastry cases on baking sheets . ,Containers
After removing the contents he closed the lid again and placed the case on the floor beside his chair . ,Containers
Many manufacturers wo n't allow you to remove the machine 's case without automatically voiding your warranty : some go so far as to put seals over the case so they can tell if you 've opened it . ,Containers
Design : compact binoculars which unfold automatically when removed from their carrying case . ,Containers
Manicure set in a black leather case with mock tortoiseshell handles . ,Containers
Brush-and-comb set in calfskin case . ,Containers
He had departed half an hour later after releasing the men and with a case of good Brut champagne in his car . ,Containers
Her husband Ian brought a case of wine and a box of glasses . ,Containers
"Our makeshift seat had consisted of cases of wine while bottles of brandy were distributed liberally amongst the boys ' bedding , none of which had been declared to us , of course . ",Containers
"For half an hour he peered into glass cases containing macabre objects , and dusty corners where reposed cast-off surgical appliances , motorcycle helmets and pictures in broken frames . ",Containers
T-Shirt plus -- yes there 's more ! -- a corkin' cassette case containing no less than TEN of our best-ever Megatapes ! ,Containers
"The Specimen Case ( 1924 ) contains stories of both Kai Lung and Max Carrados , the main reason for which Bramah , emerging from his usual seclusion , explains in the preface . ",Containers
"He sighs , takes out the cigarette case again and holds it out to me . ",Containers
She went straight to her jug of water and lifted it up by the handle and peered inside . ,Containers
