Sentences,Frame
"He could have been leading a parade , twirling the baton . ",Cause_to_move_in_place
He twirled his paint gun around one gloved finger . ,Cause_to_move_in_place
They twirled you around in the Gay Gordons at Ilkley with clammy hands . ,Cause_to_move_in_place
"Her right hand went up to Gav 's short , brownish hair , and started to play with it , twirling it round her fingers . ",Cause_to_move_in_place
"Blanche twirled her glass , sending the ice-cubes inside racing round . ",Cause_to_move_in_place
"She twirled the stem of her wine glass thoughtfully , and did n't reply . ",Cause_to_move_in_place
She looked him up and down and twirled the yellow parasol . ,Cause_to_move_in_place
Jamie twirls his fork in his egg and beans . ,Cause_to_move_in_place
"She twirls a shimmering gold swan studded with imitation pearls ` for her dressing table "" . ",Cause_to_move_in_place
"Some mimed dances and twirled around him , humming popular songs . ",Moving_in_place
"Elinor twisted and swayed and twirled , her blue eyes blazing , the wick having been set afire by Aunt Bedelia . ",Moving_in_place
"She twirled and swayed around the room in a slow dance , her skirt billowing and her long hair shining beneath the bright lights . ",Moving_in_place
"She twirled slowly , feeling his eyes on her so that it was as though she was receiving an injection of adrenalin . ",Moving_in_place
She twirled around the room but Mary was n't interested and returned upstairs with her friends to complete dressing . ,Moving_in_place
She twirls about the shop like a sugar-plum fairy and Mr Roberts chuckles and claps and calls her his Little Precious and his Cute Little Sweetheart . ,Moving_in_place
"She twirled , big as a bus . ",Moving_in_place
"She clung to me , and then she ran away ; she dashed through the flowers in the long grass , she twirled around a tree and sent lizards scuttling , she skipped along a sandy path . ",Moving_in_place
"They joined hands , they twirled round and round and round . ",Moving_in_place
Katy twirled in front of the mirror and smiled and smiled . ,Moving_in_place
It is then rotated 90 degrees clockwise about its lowest corner . ,Cause_to_move_in_place
The second rectangle is first imagined as superimposed on the first then moved vertically downwards 1 cm and rotated 45 degrees clockwise about its own top left corner . ,Cause_to_move_in_place
Rotate the cutter once around the pipe and tighten the wheel a little more . ,Cause_to_move_in_place
"A carrier is fixed by knots or capstan windings to the line , and it can be raised or lowered simply by rotating the secondary kiteline around the triangle . ",Cause_to_move_in_place
Any possible variation of dose delivered from position to position was eliminated by rotating the entire assembly at six revolutions per minute . ,Cause_to_move_in_place
Learn to rotate the left forearm properly at the start of the backswing . ,Cause_to_move_in_place
"The molecules of your body , because of the way they are made up , possess the ability to rotate polarized light in a leftward direction . ",Cause_to_move_in_place
"Try rotating your hips in all the different directions possible , facing both forwards and backwards . ",Cause_to_move_in_place
"This means that you could for example , take the pieces of garment originally designed for conventional knitting and rotate them through 90 degrees to get a pattern for sideways knitting . ",Cause_to_move_in_place
"In a simple dynamo , an electric current is produced in a coil of wire by rotating the coil between opposite magnetic poles . ",Cause_to_move_in_place
Sliding the mouse over the desk top beside the computer rotates a direction-sensitive ball inside it which in turn moves a pointer over the screen . ,Cause_to_move_in_place
Compare this positive reading with the negative minimum found by rotating the sensor by 180° in the same 67° plane to the horizontal . ,Cause_to_move_in_place
Place the sensor on a flat surface and rotate it slowly through 360° . ,Cause_to_move_in_place
"Tony 's Beaver still has its original inertia starter using a comparatively weak electric motor to spin a small flywheel up to high rpm , when the stored energy rotates the engine . ",Cause_to_move_in_place
The others watched Blunt rotate his head . ,Cause_to_move_in_place
"In the first exercise , the arms are gently rotated 35 times , first the right arm , then the left . ",Cause_to_move_in_place
Pictures can be rotated about any axis . ,Cause_to_move_in_place
"In such a case , the tube must be rotated before the elastic sail tensioner is stretched into position in the nock slot . ",Cause_to_move_in_place
"Many mills met their fate in storms when they were ` tailwinded "" , in other words , the wind caught the sails from behind after suddenly changing direction before the sails could be rotated . ",Cause_to_move_in_place
"The karateka then pivots halfway round on the ball of the left foot , while rotating the entire body forward . ",Cause_to_move_in_place
They rotated three times on the plank and the chain was removed . ,Moving_in_place
"He went silent and dark and withdrew into himself , the two thumbs rotating about one another as he sat in the car chair by the fire . ",Moving_in_place
"An impeller fan , rotating at a maximum of 7,000rpm , sucks air and any loose garden debris up the tube and into the attached canvas bag . ",Moving_in_place
"These "" Kerr "" black holes rotate at a constant rate , their size and shape depending only on their mass and rate of rotation . ",Moving_in_place
"Bernice watched , amazed , as a spiral of pink flesh rotated in the air behind the Doctor . ",Moving_in_place
A hurricane is a storm of strong circular wind flow which rotates in a counter-clockwise direction . ,Moving_in_place
"The balloon rotated gently in the evening breeze , presenting its serial number to him . ",Moving_in_place
"Moving like a boy in treacle , I rotate on the axis of my right knee and pick up the yard and a half of large bore nozzle between hands slick with sweat . ",Moving_in_place
He rotated on his right heel and left toe and brought the left boot alongside the right with a delicate crash which trembled his pink jowls . ,Moving_in_place
"The snag to this is that although a pan-head can rotate through a full circle , your hips are limited to about a quarter of this movement . ",Moving_in_place
"These particles rotate with the star and help to slow it , transferring the spin to the outer reaches of the globular dust cloud . ",Moving_in_place
The mirror would then rotate in proportion to the strength of the current . ,Moving_in_place
"The teak paddles began to rotate , making little more than a whisper of sound as they gently scythed the warm air . ",Moving_in_place
The escape pod was rotating so rapidly that its four occupants were pinned against their couches . ,Moving_in_place
